Sector,Job role,Employment type,Gender,Age group,Remote work,Work hours increase (%),Productivity change (%),Stress level (1-10),"Job satisfaction (-5,5)",Income change (%),Tech tools use increase (%),Health impact (1-10),"Family work balance impact (-5,5)",Company support level (1-10),"Job satisfaction (-5,5))",Productivity change (%
other,staff,part-time,male,55+,often,-2.93,36.86,10.0,-0.2,9.07,25.33,9.0,1.0,4.0,,36.86%
technology,freelancer,unemployed,male,55+,rarely,10.45,-35.24,10.0,-4.5,-7.28,36.82,6.0,3.0,6.0,,-35.24%
retail,manager,unemployed,female,45-54,always,-22.29,18.19,10.0,-1.5,-13.53,34.61,10.0,-2.0,8.0,,18.19%
other,executive,unemployed,female,18-24,never,23.15,14.46,10.0,-2.5,-3.09,1.0,10.0,1.0,1.0,,14.46%
finance,executive,part-time,male,18-24,often,-13.42,-17.08,3.0,5.0,13.21,24.92,10.0,3.0,7.0,-0.2,-17.08%
retail,intern,self-employed,male,45-54,never,32.55,3.56,1.0,-3.0,-0.69,23.6,4.0,-1.0,8.0,,3.56%
retail,staff,part-time,other,35-44,rarely,5.05,-13.15,8.0,-0.2,0.39,30.13,1.0,-4.0,9.0,,-13.15%
other,manager,unemployed,other,25-34,rarely,6.82,-1.29,10.0,-0.5,7.23,22.06,1.0,-1.0,8.0,,-1.29%
education,staff,part-time,male,18-24,always,0.58,25.18,10.0,-4.5,-0.27,33.11,10.0,-2.0,7.0,,25.18%
finance,manager,part-time,other,25-34,always,5.68,11.11,2.0,0.5,-12.81,25.98,5.0,2.0,3.0,,11.11%
other,intern,part-time,other,45-54,rarely,31.28,9.67,1.0,3.0,-22.45,28.68,3.0,-1.0,2.0,,9.67%
finance,intern,self-employed,other,35-44,often,-27.32,-12.61,8.0,0.5,-14.22,43.38,5.0,3.0,3.0,,-12.61%
finance,executive,full-time,other,35-44,never,29.15,-33.18,7.0,3.0,-16.05,32.89,5.0,3.0,4.0,,-33.18%
retail,staff,full-time,male,35-44,occasionally,15.07,-7.67,7.0,0.0,1.59,18.89,1.0,-3.0,4.0,,-7.67%
technology,executive,part-time,female,45-54,always,-8.11,22.13,4.0,-3.5,2.98,53.66,8.0,4.0,6.0,,22.13%
finance,staff,full-time,other,55+,occasionally,-6.13,-35.04,9.0,-4.0,-3.24,30.13,5.0,0.0,7.0,,-35.04%
manufacturing,executive,full-time,male,55+,often,35.15,-24.1,6.0,3.5,-17.69,35.27,5.0,0.0,4.0,,-24.10%
retail,freelancer,part-time,male,25-34,always,-4.18,1.53,2.0,-3.5,12.87,48.94,9.0,-2.0,10.0,,1.53%
education,freelancer,part-time,male,55+,occasionally,-7.3,-20.19,1.0,6.0,-9.16,24.59,8.0,5.0,6.0,-0.2,-20.19%
technology,freelancer,unemployed,other,55+,often,27.06,-16.35,1.0,0.3,1.03,13.36,1.0,4.0,9.0,,-16.35%
manufacturing,freelancer,full-time,other,35-44,never,15.08,-12.97,9.0,-5.0,-4.51,27.05,3.0,-3.0,6.0,,-12.97%
manufacturing,manager,self-employed,female,35-44,often,-4.07,-29.31,4.0,-2.5,-2.91,38.49,7.0,-5.0,3.0,,-29.31%
education,freelancer,part-time,other,25-34,always,13.25,-21.98,5.0,4.0,0.68,36.4,1.0,1.0,1.0,,-21.98%
technology,intern,unemployed,other,18-24,rarely,-5.39,-3.0,3.0,4.0,-11.96,31.23,1.0,-1.0,10.0,,
retail,intern,self-employed,male,25-34,never,26.51,-28.15,4.0,4.5,8.05,28.27,5.0,4.0,10.0,,-28.15%
healthcare,manager,full-time,female,25-34,often,25.92,-35.96,8.0,-4.5,-20.8,14.88,9.0,1.0,5.0,,-35.96%
technology,freelancer,unemployed,other,45-54,always,17.98,-14.6,4.0,2.5,-15.39,40.23,6.0,-5.0,10.0,,-14.60%
education,freelancer,part-time,other,45-54,rarely,15.42,10.14,9.0,-0.2,7.92,2.22,10.0,2.0,10.0,,10.14%
manufacturing,freelancer,self-employed,male,25-34,often,36.42,-8.44,9.0,-5.0,0.9,33.76,2.0,-3.0,3.0,,-8.44%
retail,executive,part-time,male,25-34,rarely,10.0,-12.29,6.0,-4.5,20.4,21.27,9.0,1.0,8.0,,-12.29%
technology,staff,full-time,other,25-34,always,-7.73,-0.11,2.0,-3.5,-4.32,44.92,6.0,-3.0,10.0,,-0.11%
healthcare,executive,self-employed,female,55+,always,16.74,-39.91,10.0,-0.2,12.0,29.27,5.0,-3.0,1.0,,-39.91%
healthcare,staff,full-time,female,45-54,rarely,41.29,6.39,7.0,1.0,-23.57,20.79,5.0,4.0,2.0,,6.39%
finance,freelancer,full-time,male,25-34,often,-5.22,3.17,9.0,1.0,-19.14,2.84,3.0,3.0,3.0,,3.17%
finance,freelancer,unemployed,male,35-44,rarely,4.58,-11.19,6.0,-4.5,3.96,30.58,6.0,-4.0,3.0,,-11.19%
other,executive,part-time,other,35-44,always,16.25,18.62,3.0,2.0,-22.4,39.12,4.0,-2.0,8.0,,18.62%
education,executive,self-employed,male,55+,always,9.19,-26.05,7.0,-2.0,-6.97,40.87,10.0,0.0,5.0,,-26.05%
technology,staff,full-time,other,55+,occasionally,-4.73,20.06,5.0,-3.0,6.67,15.07,2.0,-3.0,8.0,,20.06%
technology,intern,full-time,female,18-24,occasionally,26.83,2.59,1.0,5.0,0.01,33.98,3.0,4.0,6.0,-0.2,2.59%
other,staff,self-employed,female,18-24,never,44.8,-8.23,3.0,1.0,-4.89,36.53,9.0,4.0,2.0,,-8.23%
manufacturing,executive,full-time,other,18-24,always,12.94,-2.9,5.0,5.0,-9.49,38.15,9.0,1.0,4.0,-0.2,-2.90%
manufacturing,executive,unemployed,male,55+,occasionally,-3.56,-5.65,7.0,-0.2,-2.98,36.5,6.0,1.0,9.0,,-5.65%
other,manager,unemployed,female,55+,rarely,-13.23,22.91,3.0,0.0,0.77,16.29,10.0,-1.0,4.0,,22.91%
manufacturing,executive,unemployed,male,55+,often,13.87,-24.53,6.0,0.5,-11.61,34.23,10.0,-3.0,5.0,,-24.53%
finance,manager,unemployed,female,35-44,rarely,26.56,-17.75,5.0,-2.0,-1.28,9.69,9.0,-4.0,5.0,,-17.75%
technology,intern,full-time,other ,55+,often,17.13,20.23,1.0,4.0,5.78,42.88,4.0,-2.0,10.0,,20.23%
other,staff,self-employed,other,35-44,occasionally,9.96,-16.91,10.0,1.5,-7.22,31.6,5.0,-2.0,8.0,,-16.91%
technology,staff,self-employed,other ,18-24,never,1.16,15.01,6.0,-1.5,-4.32,7.81,10.0,5.0,6.0,,15.01%
healthcare,manager,self-employed,female,18-24,rarely,-6.38,29.99,8.0,1.5,-0.16,16.98,6.0,2.0,10.0,,29.99%
finance,staff,self-employed,male,18-24,rarely,22.52,-8.54,1.0,5.0,0.51,25.61,9.0,2.0,7.0,-0.2,-8.54%
retail,freelancer,part-time,male,25-34,rarely,23.71,12.63,2.0,4.5,3.78,34.24,5.0,-1.0,6.0,,12.63%
finance,freelancer,self-employed,male,25-34,often,-13.19,-25.07,4.0,-4.5,-15.14,49.8,8.0,0.0,5.0,,-25.07%
other,manager,part-time,female,45-54,occasionally,33.85,-3.0,2.0,-2.5,-10.29,28.66,1.0,2.0,5.0,,
retail,staff,part-time,female,45-54,rarely,18.61,-0.51,9.0,-5.0,-9.92,11.35,5.0,-5.0,3.0,,-0.51%
healthcare,manager,unemployed,female,45-54,rarely,30.99,4.46,10.0,-4.5,-14.04,27.38,10.0,-1.0,7.0,,4.46%
other,manager,part-time,female,25-34,never,-10.13,-16.91,8.0,2.5,-22.98,37.85,1.0,-2.0,10.0,,-16.91%
education,freelancer,full-time,female,25-34,never,-10.49,-37.22,8.0,1.5,-37.54,3.77,10.0,-2.0,5.0,,-37.22%
technology,executive,part-time,male,45-54,occasionally,7.77,8.07,4.0,4.5,6.95,20.45,6.0,5.0,7.0,,8.07%
healthcare,manager,unemployed,female,45-54,occasionally,17.54,-43.77,5.0,0.0,-20.54,36.11,7.0,-4.0,2.0,,-43.77%
technology,staff,part-time,female,55+,always,36.95,-8.35,4.0,-4.5,10.67,41.54,5.0,4.0,9.0,,-8.35%
manufacturing,intern,full-time,male,45-54,never,20.59,14.32,9.0,1.0,2.39,14.55,1.0,-5.0,8.0,,14.32%
education,manager,full-time,female,55+,always,6.36,2.84,2.0,1.5,-9.06,42.2,6.0,0.0,5.0,,2.84%
education,manager,full-time,male,35-44,often,-5.4,34.97,8.0,-3.5,1.16,44.78,5.4,1.0,2.0,,34.97%
healthcare,freelancer,unemployed,male,25-34,always,28.45,19.5,2.0,-0.5,-0.75,39.02,5.0,-1.0,6.0,,19.50%
education,executive,unemployed,other,45-54,rarely,-4.47,-13.58,1.0,-1.0,-16.02,23.14,6.0,2.0,8.0,,-13.58%
retail,intern,self-employed,other,25-34,always,34.43,-4.45,10.0,-1.5,-5.15,45.89,10.0,3.0,7.0,,-4.45%
education,staff,unemployed,other,25-34,occasionally,5.73,-2.45,3.0,-2.0,-14.8,27.29,7.0,5.0,8.0,,-2.45%
technology,intern,full-time,other,25-34,often,33.86,-36.14,9.0,-0.2,1.54,46.43,7.0,5.0,4.0,,-36.14%
technology,staff,full-time,female,35-44,rarely,20.18,-20.31,3.0,5.0,-12.15,45.27,2.0,-4.0,3.0,-0.2,-20.31%
other,executive,unemployed,other,18-24,always,7.95,-15.72,9.0,0.0,-5.97,31.07,3.0,5.0,7.0,,-15.72%
technology,staff,part-time,male,45-54,often,2.21,-44.22,7.0,-3.0,-4.98,22.5,6.0,-2.0,2.0,,-44.22%
other,freelancer,unemployed,female,18-24,often,4.89,-4.05,10.0,-0.5,-3.78,38.72,3.0,5.0,5.0,,-4.05%
technology,freelancer,unemployed,other,18-24,rarely,16.42,-5.48,1.0,-3.0,11.63,12.14,2.0,3.0,7.0,,-5.48%
retail,freelancer,full-time,male,18-24,always,9.41,-38.46,10.0,-3.5,-7.41,26.97,4.0,-1.0,1.0,,-38.46%
other,freelancer,self-employed,male,25-34,often,1.09,5.58,5.0,3.0,7.18,14.51,5.0,-3.0,4.0,,5.58%
finance,intern,full-time,female,55+,often,7.52,9.82,9.0,-0.2,-0.2,31.18,10.0,0.0,2.0,,9.82%
manufacturing,executive,self-employed,other,25-34,never,11.18,3.04,3.0,6.0,9.18,19.67,9.0,-3.0,6.0,-0.2,3.04%
healthcare,staff,full-time,female,25-34,often,-21.93,-10.98,9.0,-4.0,-8.38,29.83,3.0,-1.0,1.0,,-10.98%
technology,staff,unemployed,male,18-24,never,16.87,9.33,5.0,0.0,1.96,33.9,3.0,-3.0,7.0,,9.33%
education,freelancer,full-time,female,25-34,always,-4.7,9.1,9.0,2.0,-5.59,53.16,6.0,0.0,3.0,,9.10%
technology,freelancer,full-time,male,18-24,always,-7.3,1.15,10.0,-0.5,-34.89,59.29,5.0,4.0,1.0,,1.15%
education,manager,full-time,female,55+,always,-15.31,-19.49,6.0,-3.5,-15.9,40.47,6.0,-1.0,8.0,,-19.49%
manufacturing,executive,unemployed,other,45-54,occasionally,-16.91,1.03,9.0,-3.0,0.82,41.84,7.0,3.0,7.0,,1.03%
manufacturing,intern,unemployed,male,18-24,always,-10.33,20.41,7.0,0.0,0.16,43.09,3.0,-3.0,2.0,,20.41%
manufacturing,staff,unemployed,female,55+,often,-0.64,-15.43,7.0,-0.2,-17.95,37.08,5.0,0.0,7.0,,-15.43%
education,manager,unemployed,female,45-54,rarely,39.3,37.96,8.0,-0.5,-2.8,20.33,8.0,2.0,3.0,,37.96%
technology,freelancer,self-employed,female,35-44,never,2.11,-14.01,7.0,4.0,0.03,-2.63,4.0,1.0,9.0,,-14.01%
manufacturing,staff,self-employed,male,18-24,often,12.67,-3.85,9.0,0.0,-5.35,36.37,10.0,0.0,8.0,,-3.85%
retail,intern,part-time,male,18-24,always,16.01,-17.95,9.0,0.0,2.29,51.54,2.0,-4.0,5.0,,-17.95%
other,manager,unemployed,male,35-44,always,11.97,1.47,6.0,2.5,0.93,24.74,4.0,1.0,7.0,,1.47%
education,manager,self-employed,other,35-44,rarely,8.84,-38.34,7.0,-1.0,-5.35,24.9,2.0,2.0,3.0,,-38.34%
education,executive,full-time,other,18-24,rarely,-7.93,-11.92,2.0,1.5,-10.11,34.92,3.0,-5.0,1.0,,-11.92%
technology,intern,unemployed,male,35-44,occasionally,31.76,-26.34,9.0,-0.2,5.43,26.41,4.0,3.0,1.0,,-26.34%
education,manager,part-time,female,25-34,never,37.11,2.21,1.0,-1.0,-0.37,31.93,4.0,-2.0,2.0,,2.21%
education,intern,part-time,other,45-54,always,-15.24,19.39,1.0,0.0,-18.81,30.13,10.0,2.0,8.0,,19.39%
manufacturing,staff,part-time,male,45-54,occasionally,-5.36,11.42,3.0,-1.0,-2.79,24.75,9.0,4.0,1.0,,11.42%
technology,freelancer,full-time,female,45-54,often,5.8,-50.43,6.0,1.5,-16.51,47.5,10.0,1.0,5.0,,-50.43%
manufacturing,manager,self-employed,other,25-34,often,-4.47,38.34,5.0,-5.0,-14.65,25.66,6.0,4.0,9.0,,38.34%
other,executive,full-time,female,35-44,occasionally,17.59,4.91,2.0,5.5,-11.52,22.75,9.0,1.0,9.0,-0.2,4.91%
other,staff,unemployed,female,55+,always,-0.92,-20.03,9.0,-4.0,-4.55,31.04,4.0,-4.0,2.0,,-20.03%
manufacturing,intern,part-time,female,35-44,occasionally,42.48,-1.86,10.0,2.5,-1.26,18.57,9.0,-5.0,7.0,,-1.86%
other,staff,full-time,female,18-24,always,27.86,1.52,4.0,5.5,-9.09,41.53,9.0,-2.0,1.0,-0.2,1.52%
technology,manager,full-time,male,45-54,rarely,13.19,-15.34,4.0,5.5,-8.65,19.87,6.0,-4.0,3.0,-0.2,-15.34%
healthcare,intern,self-employed,other,35-44,occasionally,25.4,1.46,5.0,-2.0,-10.03,34.89,5.0,2.0,6.0,,1.46%
manufacturing,freelancer,self-employed,other,55+,always,26.59,-16.15,8.0,-0.2,5.48,22.65,3.0,4.0,9.0,,-16.15%
retail,staff,part-time,male,18-24,occasionally,1.54,-13.09,10.0,-0.2,-33.53,18.77,5.0,1.0,10.0,,-13.09%
retail,manager,full-time,other,25-34,occasionally,-2.24,-15.73,4.0,-0.5,-8.09,30.52,3.0,2.0,2.0,,-15.73%
education,executive,full-time,female,25-34,always,11.17,-31.15,5.0,0.0,10.45,54.7,5.0,5.0,7.0,,-31.15%
other,intern,self-employed,other,55+,always,22.92,0.92,4.0,3.5,0.17,43.79,5.0,0.0,4.0,,0.92%
retail,staff,full-time,female,18-24,never,12.09,8.71,6.0,2.5,7.67,14.11,2.0,-5.0,2.0,,8.71%
education,staff,full-time,male,45-54,often,9.41,8.8,3.0,4.0,-25.34,15.1,9.0,3.0,3.0,,8.80%
healthcare,freelancer,full-time,female,35-44,often,-2.04,12.4,8.0,3.5,-17.42,28.52,7.0,0.0,6.0,,12.40%
technology,freelancer,self-employed,female,18-24,occasionally,8.89,3.49,6.0,-0.2,0.14,29.58,6.0,4.0,10.0,,3.49%
technology,executive,part-time,female,25-34,occasionally,8.87,-15.65,10.0,0.5,10.51,6.42,5.0,-5.0,9.0,,-15.65%
technology,executive,unemployed,male,55+,always,39.59,14.29,5.0,2.0,-16.41,27.87,4.0,-5.0,8.0,,14.29%
retail,manager,part-time,other,55+,occasionally,-10.79,-28.15,2.0,-2.5,-8.88,22.62,5.4,2.0,10.0,,-28.15%
healthcare,manager,unemployed,other,35-44,occasionally,17.58,-23.01,10.0,2.5,-0.99,27.43,2.0,0.0,9.0,,-23.01%
retail,executive,full-time,male,55+,often,32.34,-24.28,10.0,-0.2,-4.98,34.46,8.0,2.0,4.0,,-24.28%
other,executive,part-time,female,55+,always,44.07,18.1,7.0,-0.2,0.22,33.89,1.0,2.0,4.0,,18.10%
retail,intern,unemployed,other,18-24,occasionally,3.93,17.86,2.0,1.5,-31.76,35.06,10.0,5.0,9.0,,17.86%
healthcare,freelancer,self-employed,male,45-54,rarely,17.37,9.25,1.0,5.0,-0.08,26.25,1.0,2.0,8.0,-0.2,9.25%
healthcare,manager,self-employed,other,35-44,never,18.55,17.94,7.0,0.0,-14.95,16.3,3.0,4.0,2.0,,17.94%
other,freelancer,part-time,male,18-24,often,12.93,-20.09,5.0,-1.0,-9.48,41.44,5.0,1.0,8.0,,-20.09%
healthcare,freelancer,part-time,female,45-54,occasionally,8.52,6.47,1.0,7.0,1.52,35.62,6.0,1.0,1.0,-0.2,6.47%
healthcare,executive,full-time,other,18-24,rarely,16.54,-4.5,4.0,-3.5,-0.53,10.46,4.0,4.0,9.0,,-4.50%
technology,intern,part-time,male,18-24,occasionally,-27.98,14.94,4.0,-4.5,-5.08,29.68,7.0,-2.0,9.0,,14.94%
other,staff,full-time,other,55+,occasionally,20.23,-7.3,10.0,-0.2,4.69,38.9,7.0,3.0,8.0,,-7.30%
finance,intern,full-time,other,45-54,always,11.89,-11.2,7.0,-0.2,-22.0,50.57,2.0,-4.0,5.0,,-11.20%
